Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,93,2,0,92,92,454,282,227.0,46.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java,47,1,0,47,47,282,282,282.0,47.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java,318,4,0,314,311,555,282,138.75,78.5,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java,66,2,0,64,64,454,282,227.0,32.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java,223,2,0,206,206,454,282,227.0,103.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java,53,2,0,52,52,454,282,227.0,26.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,277,2,0,268,268,454,282,227.0,134.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,54,1,0,54,54,282,282,282.0,54.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java,310,3,0,305,305,552,282,184.0,101.666664,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,53,1,0,53,53,282,282,282.0,53.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java,131,2,0,129,129,454,282,227.0,64.5,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,79,2,0,76,76,454,282,227.0,38.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,55,2,0,48,48,454,282,227.0,24.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java,114,2,0,112,112,454,282,227.0,56.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,190,8,0,172,126,639,282,79.875,21.5,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,170,1,0,170,170,282,282,282.0,170.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,276,3,0,260,260,485,282,161.66667,86.666664,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,101,3,0,93,93,485,282,161.66667,31.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,730,3,0,692,692,485,282,161.66667,230.66667,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,177,2,0,166,166,454,282,227.0,83.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,116,1,0,116,116,282,282,282.0,116.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,68,2,0,65,65,454,282,227.0,32.5,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,63,2,0,61,61,380,282,190.0,30.5,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,229,4,0,221,221,583,282,145.75,55.25,false
0,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,137,3,0,133,133,552,282,184.0,44.333332,false
0,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,250,3,0,230,230,485,282,161.66667,76.666664,false
0,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,57,1,0,57,57,282,282,282.0,57.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,51,1,0,51,51,282,282,282.0,51.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java,284,3,0,171,171,470,282,156.66667,57.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java,392,3,0,234,231,470,282,156.66667,78.0,false
0,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,59,2,0,57,57,454,282,227.0,28.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,93,3,0,78,78,552,282,184.0,26.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,99,2,0,98,98,454,282,227.0,49.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,35,1,0,35,35,282,282,282.0,35.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,134,2,0,104,104,454,282,227.0,52.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,522,3,0,445,428,552,282,184.0,148.33333,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,54,2,0,52,52,454,282,227.0,26.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,28,1,0,28,28,282,282,282.0,28.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,81,2,0,75,75,454,282,227.0,37.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,198,4,0,187,187,556,282,139.0,46.75,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,278,3,0,226,226,552,282,184.0,75.333336,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32,1,0,32,32,282,282,282.0,32.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,111,2,0,104,104,454,282,227.0,52.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,61,2,0,57,57,454,282,227.0,28.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,32,2,0,31,31,454,282,227.0,15.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,65,2,0,64,64,454,282,227.0,32.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,82,2,0,78,78,454,282,227.0,39.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,39,1,0,39,39,282,282,282.0,39.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,471,4,0,451,450,554,282,138.5,112.75,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53,1,0,53,53,282,282,282.0,53.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,199,4,0,180,180,583,282,145.75,45.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,76,3,0,70,70,485,282,161.66667,23.333334,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,61,2,0,60,60,454,282,227.0,30.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,50,2,0,48,48,313,282,156.5,24.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74,1,0,74,74,282,282,282.0,74.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,85,3,0,82,82,552,282,184.0,27.333334,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,75,2,0,73,73,380,282,190.0,36.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,141,4,0,129,129,583,282,145.75,32.25,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62,1,0,62,62,282,282,282.0,62.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,59,2,0,57,57,380,282,190.0,28.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,41,2,0,36,36,454,282,227.0,18.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,166,4,0,159,159,583,282,145.75,39.75,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,127,2,0,124,124,454,282,227.0,62.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,65,2,0,64,64,454,282,227.0,32.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,37,1,0,37,37,282,282,282.0,37.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,67,2,0,63,63,454,282,227.0,31.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,741,3,0,703,703,552,282,184.0,234.33333,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,79,2,0,77,77,454,282,227.0,38.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,28,2,0,27,27,454,282,227.0,13.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,96,2,0,91,91,454,282,227.0,45.5,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,59,2,0,58,58,454,282,227.0,29.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,1,0,62,62,282,282,282.0,62.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,438,3,0,426,426,552,282,184.0,142.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,1,0,22,22,282,282,282.0,22.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,96,3,0,93,93,552,282,184.0,31.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,76,2,0,74,74,454,282,227.0,37.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,885,3,0,736,736,552,282,184.0,245.33333,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,162,3,0,158,158,552,282,184.0,52.666668,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,78,2,0,76,76,454,282,227.0,38.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,397,6,0,382,364,619,282,103.166664,63.666668,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,73,2,0,72,72,454,282,227.0,36.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,164,3,0,153,153,552,282,184.0,51.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,79,2,0,68,68,454,282,227.0,34.0,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,40,2,0,37,37,454,282,227.0,18.5,false
