@relation BOOKKEEPER_5-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.2.2}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
4.2.2,120,2,0,120,60,4,3,2,60,false
4.2.2,43,9,4,24,6,64,17,7.111111,2.666667,true
4.2.2,2,2,2,0,0,20,10,10,0,true
4.2.2,214,4,4,200,54,28,10,7,50,true
4.2.2,12,2,2,6,3,20,10,10,3,true
4.2.2,15,5,4,4,2,48,16,9.6,0.8,true
4.2.2,38,2,2,4,2,20,10,10,2,true
4.2.2,87,9,6,20,8,72,16,8,2.222222,true
4.2.2,34,6,4,0,0,48,10,8,0,true
4.2.2,40,4,4,10,5,28,10,7,2.5,true
4.2.2,34,2,2,6,3,20,10,10,3,true
4.2.2,144,7,5,46,18,37,12,5.285714,6.571429,true
4.2.2,402,4,4,398,157,13,6,3.25,99.5,true
4.2.2,16,2,2,8,4,11,6,5.5,4,true
4.2.2,34,4,2,24,7,34,12,8.5,6,true
4.2.2,143,7,5,93,29,58,17,8.285714,13.285714,true
4.2.2,227,9,6,144,41,72,24,8,16,true
4.2.2,15,2,0,10,8,22,14,11,5,false
4.2.2,139,2,1,138,136,22,14,11,69,true
4.2.2,5,1,0,4,4,14,14,14,4,false
4.2.2,83,1,0,83,83,14,14,14,83,false
4.2.2,19,1,0,14,14,14,14,14,14,false
4.2.2,155,7,2,44,37,63,14,9,6.285714,true
4.2.2,135,3,1,87,86,33,14,11,29,true
4.2.2,154,7,3,57,53,66,14,9.428572,8.142858,true
4.2.2,74,2,1,6,3,16,14,8,3,true
4.2.2,121,5,3,87,53,43,14,8.6,17.4,true
4.2.2,83,1,0,83,83,14,14,14,83,false
4.2.2,33,4,2,22,10,20,14,5,5.5,true
4.2.2,390,14,6,105,46,109,17,7.785714,7.5,true
4.2.2,40,2,0,40,20,8,4,4,20,false
