Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.98200225,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,No selection,No cost sensitive,122,3,60,5,0.976,0.960629921,0.956942882,0.905765654
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,No selection,No cost sensitive,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,No selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.98200225,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,No selection,Sensitive threshold,122,3,60,5,0.976,0.960629921,0.956942882,0.905765654
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,No selection,Sensitive threshold,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,No selection,Sensitive learning,122,0,63,5,1,0.960629921,0.980939883,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,No selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.956942882,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,No selection,Sensitive learning,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,Best first selection,No cost sensitive,122,0,63,5,1,0.960629921,0.9800025,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.974190726,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,Best first selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.9800025,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.974190726,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,Best first selection,Sensitive learning,122,0,63,5,1,0.960629921,0.980502437,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,Best first selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.974190726,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.975753031,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,No selection,No cost sensitive,123,3,60,4,0.976190476,0.968503937,0.957255343,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,No selection,No cost sensitive,121,2,61,6,0.983739837,0.952755906,0.968253968,0.906507566
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,No selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.975753031,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,No selection,Sensitive threshold,123,3,60,4,0.976190476,0.968503937,0.957255343,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,No selection,Sensitive threshold,121,2,61,6,0.983739837,0.952755906,0.968253968,0.906507566
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,No selection,Sensitive learning,122,0,63,5,1,0.960629921,0.981627297,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,No selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.957255343,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,No selection,Sensitive learning,121,2,61,6,0.983739837,0.952755906,0.968253968,0.906507566
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,Best first selection,No cost sensitive,122,0,63,5,1,0.960629921,0.983314586,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,Best first selection,No cost sensitive,119,2,61,8,0.983471074,0.937007874,0.97687789,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.968441445,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,Best first selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.983314586,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,Best first selection,Sensitive threshold,119,2,61,8,0.983471074,0.937007874,0.97687789,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.968441445,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,Best first selection,Sensitive learning,122,0,63,5,1,0.960629921,0.982814648,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,Best first selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.97687789,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.968441445,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.987314086,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,No selection,No cost sensitive,127,22,41,0,0.852348993,1,0.964941882,0.713580924
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,No selection,No cost sensitive,123,4,59,4,0.968503937,0.968503937,0.952505937,0.905011874
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,No selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.987314086,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,No selection,Sensitive threshold,127,22,41,0,0.852348993,1,0.964941882,0.713580924
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,No selection,Sensitive threshold,123,4,59,4,0.968503937,0.968503937,0.952505937,0.905011874
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,No selection,Sensitive learning,122,0,63,5,1,0.960629921,0.983689539,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,No selection,Sensitive learning,127,62,1,0,0.671957672,1,0.964941882,0.021106864
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,No selection,Sensitive learning,123,4,59,4,0.968503937,0.968503937,0.952505937,0.905011874
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,Best first selection,No cost sensitive,122,0,63,5,1,0.960629921,0.989751281,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,Best first selection,No cost sensitive,119,2,61,8,0.983471074,0.937007874,0.972378453,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,Best first selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.989751281,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,Best first selection,Sensitive threshold,119,2,61,8,0.983471074,0.937007874,0.972378453,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,Best first selection,Sensitive learning,122,0,63,5,1,0.960629921,0.98887639,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,Best first selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.972378453,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Smote,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.983252093,0.941796348
