@relation STORM_1-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.09.0.1}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
0.09.0.1,26,1,0,26,26,6,6,6,26,false
0.09.0.1,5,1,0,5,5,6,6,6,5,false
0.09.0.1,1,1,0,0,0,6,6,6,0,false
0.09.0.1,26,1,0,26,26,6,6,6,26,false
0.09.0.1,7,1,0,5,5,6,6,6,5,false
0.09.0.1,11,2,0,10,10,18,12,9,5,false
0.09.0.1,78,4,0,70,69,22,12,5.5,17.5,false
0.09.0.1,80,3,0,72,71,20,12,6.666666,24,false
0.09.0.1,80,1,0,80,80,5,5,5,80,false
0.09.0.1,198,3,0,192,192,20,12,6.666666,64,false
0.09.0.1,203,5,0,194,183,25,12,5,38.8,false
0.09.0.1,8,3,0,0,0,14,9,4.666666,0,false
0.09.0.1,2,2,0,2,1,5,3,2.5,1,false
0.09.0.1,2,1,0,2,2,12,12,12,2,false
0.09.0.1,10,1,0,10,10,12,12,12,10,false
0.09.0.1,56,5,0,21,17,24,12,4.8,4.2,false
0.09.0.1,2,1,0,2,2,12,12,12,2,false
0.09.0.1,12,3,0,5,5,19,12,6.333334,1.666667,false
0.09.0.1,21,5,0,11,5,22,12,4.4,2.2,false
0.09.0.1,15,4,0,10,8,20,12,5,2.5,false
0.09.0.1,718,26,0,523,110,1811,604,69.65385,20.115385,false
0.09.0.1,636,28,5,537,317,1718,604,61.357143,19.178572,true
0.09.0.1,204,19,0,178,24,982,604,51.68421,9.368421,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,17,1,0,17,17,17,17,17,17,false
0.09.0.1,2,1,0,0,0,1,1,1,0,false
0.09.0.1,38,1,0,38,38,9,9,9,38,false
0.09.0.1,144,6,0,126,40,46,12,7.666666,21,false
0.09.0.1,8,1,0,6,6,9,9,9,6,false
0.09.0.1,20,1,0,20,20,9,9,9,20,false
0.09.0.1,69,5,0,3,3,37,12,7.4,0.6,false
0.09.0.1,19,1,0,19,19,9,9,9,19,false
0.09.0.1,11,1,0,11,11,9,9,9,11,false
0.09.0.1,138,8,0,118,31,50,12,6.25,14.75,false
0.09.0.1,20,4,0,17,17,801,604,200.25,4.25,false
0.09.0.1,343,5,0,343,170,37,12,7.4,68.6,false
0.09.0.1,144,2,0,144,72,8,5,4,72,false
0.09.0.1,2055,29,11,608,221,1617,604,55.75862,20.965517,true
0.09.0.1,66,7,0,50,33,1164,604,166.28572,7.142857,false
0.09.0.1,604,32,2,266,86,1982,604,61.9375,8.3125,true
0.09.0.1,64,7,0,48,31,1164,604,166.28572,6.857143,false
0.09.0.1,77,7,1,57,17,1121,604,160.14285,8.142858,true
0.09.0.1,27,4,0,22,17,968,604,242,5.5,false
0.09.0.1,24,4,0,18,17,968,604,242,4.5,false
0.09.0.1,78,4,0,22,17,968,604,242,5.5,false
0.09.0.1,33,4,0,18,17,968,604,242,4.5,false
