@relation STORM_2-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.09.1-incubating}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
0.09.1-incubating,90,1,0,90,90,7,7,7,90,false
0.09.1-incubating,21,1,0,21,21,7,7,7,21,false
0.09.1-incubating,30,1,0,25,25,7,7,7,25,false
0.09.1-incubating,13,1,0,13,13,7,7,7,13,false
0.09.1-incubating,6,1,0,6,6,7,7,7,6,false
0.09.1-incubating,1,1,0,0,0,7,7,7,0,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,34,2,0,34,17,1120,562,560,17,false
0.09.1-incubating,67,5,1,61,17,1741,562,348.2,12.2,true
0.09.1-incubating,51,3,0,51,17,1678,562,559.3333,17,false
0.09.1-incubating,51,3,0,51,17,1678,562,559.3333,17,false
0.09.1-incubating,51,3,0,51,17,1678,562,559.3333,17,false
0.09.1-incubating,51,3,0,51,17,1678,562,559.3333,17,false
0.09.1-incubating,51,3,0,51,17,1678,562,559.3333,17,false
0.09.1-incubating,51,3,0,51,17,1678,562,559.3333,17,false
