@relation STORM_3-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.9.2-incubating}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {false,true}

@data
0.9.2-incubating,1169,57,0,458,120,1500,241,26.31579,8.035088,false
0.9.2-incubating,1903,120,0,1456,104,2099,241,17.491667,12.133333,false
0.9.2-incubating,2349,42,0,647,100,1294,241,30.809525,15.404762,false
0.9.2-incubating,249,8,0,155,90,149,75,18.625,19.375,false
0.9.2-incubating,53,5,0,45,37,95,75,19,9,false
0.9.2-incubating,183,8,0,111,70,149,75,18.625,13.875,false
0.9.2-incubating,215,17,0,83,24,939,241,55.235294,4.882353,false
0.9.2-incubating,1133,76,0,735,166,1562,241,20.552631,9.671053,false
0.9.2-incubating,362,13,0,292,109,794,241,61.076923,22.461538,false
0.9.2-incubating,161,16,0,23,4,531,241,33.1875,1.4375,false
0.9.2-incubating,119,2,0,114,113,19,15,9.5,57,false
0.9.2-incubating,140,5,0,106,105,26,15,5.2,21.2,false
0.9.2-incubating,145,5,0,111,110,26,15,5.2,22.2,false
0.9.2-incubating,198,6,0,117,61,155,75,25.833334,19.5,false
0.9.2-incubating,136,6,0,119,105,99,75,16.5,19.833334,false
0.9.2-incubating,759,44,0,333,84,1266,241,28.772728,7.568182,false
0.9.2-incubating,40,4,0,28,14,281,241,70.25,7,false
0.9.2-incubating,200,15,0,151,53,487,241,32.466667,10.066667,false
0.9.2-incubating,37,7,0,31,10,343,241,49,4.428571,false
0.9.2-incubating,1182,63,0,411,55,1537,241,24.396826,6.523809,false
0.9.2-incubating,66,14,0,12,4,653,241,46.642857,0.857143,false
0.9.2-incubating,876,8,0,525,95,602,241,75.25,65.625,false
0.9.2-incubating,1234,17,0,618,162,847,241,49.82353,36.35294,false
0.9.2-incubating,883,12,0,69,23,664,241,55.333332,5.75,false
0.9.2-incubating,722,10,0,63,21,639,241,63.9,6.3,false
0.9.2-incubating,262,4,0,102,34,406,241,101.5,25.5,false
0.9.2-incubating,529,6,0,259,95,440,241,73.333336,43.166668,false
0.9.2-incubating,298,6,0,69,23,519,241,86.5,11.5,false
0.9.2-incubating,1206,10,0,279,216,639,241,63.9,27.9,false
0.9.2-incubating,252,4,0,63,21,406,241,101.5,15.75,false
0.9.2-incubating,1066,12,0,63,21,682,241,56.833332,5.25,false
0.9.2-incubating,671,7,0,65,23,658,241,94,9.285714,false
0.9.2-incubating,244,4,0,63,21,406,241,101.5,15.75,false
0.9.2-incubating,184,4,0,63,21,406,241,101.5,15.75,false
0.9.2-incubating,218,4,0,63,21,406,241,101.5,15.75,false
0.9.2-incubating,20571,20,0,15166,2144,783,241,39.15,758.3,false
0.9.2-incubating,218,4,0,63,21,406,241,101.5,15.75,false
0.9.2-incubating,811,7,0,562,179,531,241,75.85714,80.28571,false
0.9.2-incubating,490,7,0,67,23,567,241,81,9.571428,false
0.9.2-incubating,261,4,0,69,23,406,241,101.5,17.25,false
0.9.2-incubating,10294,8,0,2864,1350,496,241,62,358,false
0.9.2-incubating,472,6,0,290,88,504,241,84,48.333332,false
0.9.2-incubating,1192,12,0,830,212,872,241,72.666664,69.166664,false
0.9.2-incubating,411,8,0,69,23,571,241,71.375,8.625,false
0.9.2-incubating,1379,10,0,675,306,614,241,61.4,67.5,false
0.9.2-incubating,923,9,0,63,21,769,241,85.44444,7,false
0.9.2-incubating,218,4,0,63,21,406,241,101.5,15.75,false
0.9.2-incubating,234,30,0,187,22,937,241,31.233334,6.233333,false
0.9.2-incubating,284,13,0,100,29,469,241,36.076923,7.692308,false
0.9.2-incubating,180,24,0,87,26,961,241,40.041668,3.625,false
0.9.2-incubating,960,3,0,960,320,348,241,116,320,false
0.9.2-incubating,56,2,0,56,28,100,92,50,28,false
0.9.2-incubating,62,7,0,61,20,452,241,64.57143,8.714286,false
0.9.2-incubating,60,2,0,60,30,100,92,50,30,false
0.9.2-incubating,8,2,0,8,4,100,92,50,4,false
0.9.2-incubating,195,5,0,166,65,340,241,68,33.2,false
0.9.2-incubating,122,11,0,42,7,763,241,69.36364,3.818182,false
0.9.2-incubating,17,1,0,17,17,5,5,5,17,false
0.9.2-incubating,3,1,0,1,1,5,5,5,1,false
0.9.2-incubating,91,6,0,91,30,521,241,86.833336,15.166667,false
0.9.2-incubating,1275,3,0,1275,425,354,241,118,425,false
0.9.2-incubating,984,3,0,984,328,354,241,118,328,false
0.9.2-incubating,579,29,0,484,159,1016,241,35.03448,16.689655,false
0.9.2-incubating,34,6,0,31,10,423,241,70.5,5.166666,false
0.9.2-incubating,4,2,0,2,2,10,5,5,1,false
0.9.2-incubating,4,2,0,2,2,10,5,5,1,false
0.9.2-incubating,494,23,0,58,11,991,241,43.086956,2.521739,false
0.9.2-incubating,59,16,0,16,5,411,93,25.6875,1,false
0.9.2-incubating,18,1,0,18,18,19,19,19,18,false
0.9.2-incubating,179,12,0,144,43,843,241,70.25,12,false
0.9.2-incubating,1336,25,0,1096,366,941,241,37.64,43.84,false
0.9.2-incubating,107,11,0,85,32,779,241,70.818184,7.727272,false
0.9.2-incubating,248,9,0,238,76,648,241,72,26.444445,false
0.9.2-incubating,230,17,0,186,62,1034,241,60.82353,10.941176,false
0.9.2-incubating,8,1,0,8,8,19,19,19,8,false
0.9.2-incubating,584,15,0,482,222,411,93,27.4,32.133335,false
0.9.2-incubating,720,6,0,491,226,141,75,23.5,81.833336,false
0.9.2-incubating,215,5,0,162,68,132,75,26.4,32.4,false
0.9.2-incubating,71,4,0,51,30,128,75,32,12.75,false
0.9.2-incubating,381,10,0,11,7,734,241,73.4,1.1,false
0.9.2-incubating,454,16,0,225,145,825,241,51.5625,14.0625,false
0.9.2-incubating,66,19,0,16,6,856,241,45.05263,0.842105,false
0.9.2-incubating,336,5,0,247,102,128,75,25.6,49.4,false
0.9.2-incubating,140,4,0,102,47,121,75,30.25,25.5,false
0.9.2-incubating,70,1,0,70,70,3,3,3,70,false
0.9.2-incubating,143,7,0,119,117,38,18,5.428571,17,false
0.9.2-incubating,14,2,0,8,8,23,18,11.5,4,false
0.9.2-incubating,58,1,0,58,58,18,18,18,58,false
0.9.2-incubating,41,1,0,41,41,18,18,18,41,false
0.9.2-incubating,105,3,0,101,99,30,18,10,33.666668,false
