@relation STORM_7-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.9.6}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
0.9.6,771,28,1,718,100,1565,505,55.892857,25.642857,true
0.9.6,1,1,0,0,0,505,505,505,0,true
0.9.6,2,1,0,0,0,505,505,505,0,true
0.9.6,109,1,0,35,35,505,505,505,35,true
0.9.6,99,11,2,35,17,1056,505,96,3.181818,true
0.9.6,56,11,2,0,0,1056,505,96,0,true
0.9.6,25,1,0,25,25,505,505,505,25,true
0.9.6,57,11,2,12,10,1056,505,96,1.090909,true
0.9.6,174,18,3,18,10,1391,505,77.27778,1,true
0.9.6,28,5,1,15,7,711,505,142.2,3,true
0.9.6,281,1,0,281,281,505,505,505,281,true
0.9.6,3,1,0,0,0,505,505,505,0,true
0.9.6,12,8,1,2,2,946,505,118.25,0.25,true
0.9.6,18,1,0,8,8,505,505,505,8,true
0.9.6,243,1,0,243,243,505,505,505,243,true
0.9.6,4,1,0,3,3,505,505,505,3,true
0.9.6,355,9,0,138,57,33,12,3.666667,15.333333,false
0.9.6,4,1,0,4,4,6,6,6,4,false
0.9.6,124,9,0,94,23,55,12,6.111111,10.444445,false
0.9.6,36,2,0,36,19,14,8,7,18,false
0.9.6,14,3,0,0,0,9,6,3,0,false
0.9.6,54,1,0,54,54,4,4,4,54,false
0.9.6,540,10,0,236,116,901,505,90.1,23.6,false
0.9.6,63,2,0,63,51,18,12,9,31.5,false
0.9.6,11,1,0,11,11,6,6,6,11,false
0.9.6,62,2,0,62,45,14,8,7,31,false
0.9.6,137,15,0,103,103,1044,505,69.6,6.866667,false
0.9.6,138,15,0,96,96,1044,505,69.6,6.4,false
0.9.6,340,16,0,147,75,1052,505,65.75,9.1875,false
0.9.6,337,16,0,138,76,1052,505,65.75,8.625,false
0.9.6,39,5,0,21,14,19,7,3.8,4.2,false
0.9.6,193,13,1,48,7,1332,505,102.46154,3.692308,true
0.9.6,36,5,0,16,16,743,505,148.6,3.2,false
0.9.6,128,10,0,92,92,817,505,81.7,9.2,false
0.9.6,131,10,0,103,99,817,505,81.7,10.3,false
0.9.6,95,5,0,75,67,743,505,148.6,15,false
0.9.6,530,5,0,378,166,743,505,148.6,75.6,false
0.9.6,251,10,0,71,70,820,505,82,7.1,false
0.9.6,87,5,0,83,83,743,505,148.6,16.6,false
0.9.6,983,20,1,358,316,1244,505,62.2,17.9,true
0.9.6,288,10,0,97,78,820,505,82,9.7,false
0.9.6,84,5,0,80,80,743,505,148.6,16,false
0.9.6,767,15,0,306,294,823,505,54.866665,20.4,false
0.9.6,135,5,0,135,27,743,505,148.6,27,false
0.9.6,105,5,0,105,21,743,505,148.6,21,false
0.9.6,110,5,0,110,22,743,505,148.6,22,false
0.9.6,200,5,0,200,40,743,505,148.6,40,false
0.9.6,250,5,0,250,50,743,505,148.6,50,false
0.9.6,351,11,1,315,65,1367,505,124.27273,28.636364,true
0.9.6,125,5,0,125,25,743,505,148.6,25,false
0.9.6,190,5,0,190,38,743,505,148.6,38,false
0.9.6,235,5,0,235,47,743,505,148.6,47,false
0.9.6,485,5,0,485,97,743,505,148.6,97,false
0.9.6,410,5,0,410,82,743,505,148.6,82,false
0.9.6,500,5,0,500,100,743,505,148.6,100,false
0.9.6,560,5,0,560,112,743,505,148.6,112,false
0.9.6,83,5,0,67,67,743,505,148.6,13.4,false
0.9.6,8,8,1,0,0,946,505,118.25,0,true
0.9.6,8,8,1,0,0,946,505,118.25,0,true
0.9.6,16,8,1,0,0,946,505,118.25,0,true
0.9.6,8,8,1,0,0,946,505,118.25,0,true
0.9.6,56,4,0,22,14,17,7,4.25,5.5,false
0.9.6,2,1,0,1,1,7,7,7,1,false
0.9.6,2,1,0,1,1,7,7,7,1,false
0.9.6,8,8,2,0,0,1030,505,128.75,0,true
0.9.6,1043,20,3,646,71,1380,505,69,32.3,true
0.9.6,11,9,1,0,0,1147,505,127.44444,0,true
0.9.6,95,10,0,83,17,953,505,95.3,8.3,false
0.9.6,19,8,1,9,2,841,505,105.125,1.125,true
0.9.6,16,9,1,7,1,719,505,79.888885,0.777778,true
0.9.6,245,7,1,245,35,714,505,102,35,true
0.9.6,53,15,2,47,9,1119,505,74.6,3.133333,true
0.9.6,22,8,1,7,1,717,505,89.625,0.875,true
0.9.6,22,8,1,7,1,717,505,89.625,0.875,true
0.9.6,86,7,1,77,77,703,505,100.42857,11,true
0.9.6,106,6,0,105,22,125,48,20.833334,17.5,false
0.9.6,178,6,0,177,40,125,48,20.833334,29.5,false
0.9.6,278,5,0,276,69,269,203,53.8,55.2,false
0.9.6,276,4,0,276,69,66,20,16.5,69,false
0.9.6,136,9,0,134,33,79,20,8.777778,14.888889,false
0.9.6,140,5,0,140,35,66,20,13.2,28,false
0.9.6,377,6,0,375,96,69,20,11.5,62.5,false
0.9.6,71,1,0,71,71,8,8,8,71,false
0.9.6,69,2,0,66,63,14,8,7,33,false
0.9.6,1569,14,1,1517,769,1367,505,97.64286,108.35714,true
0.9.6,568,8,1,568,71,1137,505,142.125,71,true
0.9.6,456,8,1,456,57,1137,505,142.125,57,true
0.9.6,518,10,1,514,65,1141,505,114.1,51.4,true
0.9.6,1,1,0,0,0,1,1,1,0,false
0.9.6,2,1,0,0,0,1,1,1,0,false
0.9.6,368,8,1,72,9,1087,505,135.875,9,true
0.9.6,4128,8,1,4128,516,1087,505,135.875,516,true
0.9.6,3793,9,1,3768,471,1123,505,124.77778,418.66666,true
0.9.6,4507,9,1,4488,561,1123,505,124.77778,498.66666,true
0.9.6,6059,9,1,6040,755,1123,505,124.77778,671.1111,true
0.9.6,3248,8,1,3248,406,1087,505,135.875,406,true
0.9.6,3793,9,1,3768,471,1123,505,124.77778,418.66666,true
0.9.6,3687,9,1,3664,458,1123,505,124.77778,407.1111,true
0.9.6,108,6,0,4,1,212,203,35.333332,0.666667,false
0.9.6,219,9,1,216,27,1038,505,115.333336,24,true
0.9.6,374,12,1,94,20,1132,505,94.333336,7.833334,true
0.9.6,9380,13,1,7119,4337,1473,505,113.30769,547.61536,true
0.9.6,420,8,1,223,223,1233,505,154.125,27.875,true
0.9.6,550,5,0,319,319,673,505,134.6,63.8,false
0.9.6,1183,10,1,1000,236,1243,505,124.3,100,true
0.9.6,2094,11,1,2002,1288,1279,505,116.27273,182,true
0.9.6,183,5,0,115,115,673,505,134.6,23,false
0.9.6,219,5,0,128,128,673,505,134.6,25.6,false
0.9.6,380,5,0,234,234,673,505,134.6,46.8,false
0.9.6,1238,6,0,1211,1211,709,505,118.166664,201.83333,false
0.9.6,171,5,0,105,105,673,505,134.6,21,false
0.9.6,581,5,0,342,342,673,505,134.6,68.4,false
0.9.6,171,5,0,105,105,673,505,134.6,21,false
0.9.6,179,5,0,115,115,673,505,134.6,23,false
0.9.6,324,6,0,172,172,709,505,118.166664,28.666666,false
0.9.6,97,5,0,66,66,673,505,134.6,13.2,false
0.9.6,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,577,6,0,556,556,709,505,118.166664,92.666664,false
0.9.6,143,5,0,86,86,673,505,134.6,17.2,false
0.9.6,215,5,0,132,132,673,505,134.6,26.4,false
0.9.6,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,162,5,0,98,98,673,505,134.6,19.6,false
0.9.6,426,5,0,422,422,673,505,134.6,84.4,false
0.9.6,321,5,0,180,180,673,505,134.6,36,false
0.9.6,537,5,0,348,348,673,505,134.6,69.6,false
0.9.6,166,5,0,94,94,673,505,134.6,18.8,false
0.9.6,257,5,0,147,147,673,505,134.6,29.4,false
0.9.6,910,5,0,601,601,673,505,134.6,120.2,false
0.9.6,401,5,0,257,257,673,505,134.6,51.4,false
0.9.6,162,5,0,98,98,673,505,134.6,19.6,false
0.9.6,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,223,6,0,120,120,709,505,118.166664,20,false
0.9.6,384,5,0,231,231,673,505,134.6,46.2,false
0.9.6,304,5,0,180,180,673,505,134.6,36,false
0.9.6,863,5,0,536,536,673,505,134.6,107.2,false
0.9.6,171,5,0,105,105,673,505,134.6,21,false
0.9.6,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,1084,6,0,983,983,709,505,118.166664,163.83333,false
0.9.6,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,403,7,1,402,67,1165,505,166.42857,57.42857,true
0.9.6,42,7,2,42,6,394,203,56.285713,6,true
0.9.6,62,6,1,24,4,1163,505,193.83333,4,true
0.9.6,44,6,1,31,11,1163,505,193.83333,5.166666,true
0.9.6,14,7,1,0,0,1032,505,147.42857,0,true
0.9.6,312,6,1,312,52,1215,505,202.5,52,true
0.9.6,558,6,1,558,93,1215,505,202.5,93,true
0.9.6,702,6,1,702,117,1215,505,202.5,117,true
0.9.6,423,9,1,420,70,1360,505,151.11111,46.666668,true
0.9.6,282,6,1,282,47,1215,505,202.5,47,true
0.9.6,324,6,1,324,54,1215,505,202.5,54,true
0.9.6,366,6,1,366,61,1215,505,202.5,61,true
0.9.6,630,6,1,630,105,1215,505,202.5,105,true
0.9.6,576,6,1,576,96,1215,505,202.5,96,true
0.9.6,669,9,1,630,105,1369,505,152.11111,70,true
0.9.6,561,9,1,546,91,1369,505,152.11111,60.666668,true
0.9.6,396,6,1,396,66,1215,505,202.5,66,true
0.9.6,1005,9,1,1002,167,1369,505,152.11111,111.333336,true
0.9.6,246,6,1,246,41,1215,505,202.5,41,true
0.9.6,234,6,1,234,39,1215,505,202.5,39,true
0.9.6,384,6,1,384,64,1215,505,202.5,64,true
0.9.6,414,6,1,414,69,1215,505,202.5,69,true
0.9.6,156,6,1,156,26,1215,505,202.5,26,true
0.9.6,210,6,1,210,35,1215,505,202.5,35,true
0.9.6,360,6,1,360,60,1215,505,202.5,60,true
0.9.6,570,6,1,570,95,1215,505,202.5,95,true
0.9.6,513,9,1,510,85,1369,505,152.11111,56.666668,true
0.9.6,828,9,1,816,136,1369,505,152.11111,90.666664,true
0.9.6,606,6,1,606,101,1215,505,202.5,101,true
0.9.6,336,6,1,336,56,1215,505,202.5,56,true
0.9.6,186,6,1,186,31,1215,505,202.5,31,true
0.9.6,198,6,1,198,33,1215,505,202.5,33,true
0.9.6,222,6,1,222,37,1215,505,202.5,37,true
0.9.6,162,6,1,162,27,1215,505,202.5,27,true
0.9.6,210,6,1,210,35,1215,505,202.5,35,true
0.9.6,180,6,1,180,30,1215,505,202.5,30,true
0.9.6,216,9,1,210,35,1369,505,152.11111,23.333334,true
0.9.6,180,6,1,180,30,1215,505,202.5,30,true
0.9.6,150,6,1,150,25,1215,505,202.5,25,true
0.9.6,222,6,1,222,37,1215,505,202.5,37,true
0.9.6,1310,10,1,1133,165,1383,505,138.3,113.3,true
0.9.6,1563,9,1,1563,258,1360,505,151.11111,173.66667,true
0.9.6,1014,11,1,928,150,1384,505,125.818184,84.36364,true
0.9.6,336,6,1,336,56,1215,505,202.5,56,true
0.9.6,330,6,1,330,55,1215,505,202.5,55,true
0.9.6,288,6,1,288,48,1215,505,202.5,48,true
0.9.6,378,6,1,378,63,1215,505,202.5,63,true
0.9.6,498,6,1,498,83,1215,505,202.5,83,true
0.9.6,486,6,1,486,81,1215,505,202.5,81,true
0.9.6,318,6,1,318,53,1215,505,202.5,53,true
0.9.6,423,10,1,312,51,1368,505,136.8,31.2,true
0.9.6,939,9,1,936,155,1360,505,151.11111,104,true
0.9.6,324,6,1,324,54,1215,505,202.5,54,true
0.9.6,384,6,1,384,64,1215,505,202.5,64,true
0.9.6,228,6,1,228,38,1215,505,202.5,38,true
0.9.6,764,8,1,570,95,1237,505,154.625,71.25,true
0.9.6,420,6,1,420,70,1215,505,202.5,70,true
0.9.6,834,6,1,834,139,1215,505,202.5,139,true
0.9.6,222,6,1,222,37,1215,505,202.5,37,true
0.9.6,432,6,1,432,72,1215,505,202.5,72,true
0.9.6,739,8,1,552,92,1237,505,154.625,69,true
0.9.6,192,6,1,192,32,1215,505,202.5,32,true
0.9.6,696,6,1,696,116,1215,505,202.5,116,true
0.9.6,719,11,1,498,81,1391,505,126.454544,45.272728,true
0.9.6,161,7,2,49,7,1032,505,147.42857,7,true
0.9.6,240,6,1,240,40,1033,505,172.16667,40,true
0.9.6,300,6,1,300,50,1033,505,172.16667,50,true
0.9.6,60,1,0,60,60,505,505,505,60,false
0.9.6,3,1,0,0,0,505,505,505,0,false
0.9.6,66,1,0,66,66,505,505,505,66,false
0.9.6,2,1,0,1,1,505,505,505,1,false
0.9.6,1,1,0,1,1,505,505,505,1,false
0.9.6,4,1,0,2,2,505,505,505,2,false
0.9.6,4,1,0,2,2,505,505,505,2,false
0.9.6,1,1,0,0,0,505,505,505,0,false
0.9.6,4,1,0,0,0,505,505,505,0,false
0.9.6,131,1,0,131,131,505,505,505,131,false
0.9.6,2,1,0,0,0,505,505,505,0,false
0.9.6,1,1,0,0,0,505,505,505,0,false
0.9.6,2,1,0,1,1,505,505,505,1,false
0.9.6,14,1,0,11,11,505,505,505,11,false
0.9.6,131,1,0,131,131,505,505,505,131,false
0.9.6,4,1,0,4,4,505,505,505,4,false
0.9.6,52,1,0,52,52,505,505,505,52,false
0.9.6,1,1,0,0,0,505,505,505,0,false
0.9.6,7,1,0,0,0,505,505,505,0,false
0.9.6,4,1,0,1,1,505,505,505,1,false
0.9.6,8,1,0,1,1,505,505,505,1,false
0.9.6,16,1,0,1,1,505,505,505,1,false
0.9.6,5,1,0,2,2,505,505,505,2,false
0.9.6,7,1,0,5,5,505,505,505,5,false
0.9.6,3,1,0,0,0,505,505,505,0,false
0.9.6,39,2,0,21,21,541,505,270.5,10.5,false
0.9.6,171,2,0,171,154,553,505,276.5,85.5,false
0.9.6,5,1,0,2,2,505,505,505,2,false
0.9.6,2,1,0,0,0,505,505,505,0,false
0.9.6,27,1,0,26,26,505,505,505,26,false
