Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.9.6,storm-core/src/jvm/backtype/storm/Config.java,771,28,1,718,100,1565,505,55.892857,25.642857,true
0.9.6,external/storm-kafka/src/jvm/storm/kafka/bolt/mapper/FieldNameBasedTupleToKafkaMapper.java,1,1,0,0,0,505,505,505,0,true
0.9.6,storm-core/src/jvm/backtype/storm/utils/ShellProcess.java,2,1,0,0,0,505,505,505,0,true
0.9.6,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,109,1,0,35,35,505,505,505,35,true
0.9.6,external/storm-kafka/src/test/storm/kafka/KafkaUtilsTest.java,99,11,2,35,17,1056,505,96,3.1818182,true
0.9.6,external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,56,11,2,0,0,1056,505,96,0,true
0.9.6,external/storm-kafka/src/jvm/storm/kafka/TopicOffsetOutOfRangeException.java,25,1,0,25,25,505,505,505,25,true
0.9.6,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,57,11,2,12,10,1056,505,96,1.0909091,true
0.9.6,external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java,174,18,3,18,10,1391,505,77.27778,1,true
0.9.6,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/security/HdfsSecurityUtil.java,28,5,1,15,7,711,505,142.2,3,true
0.9.6,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/security/AutoHDFS.java,281,1,0,281,281,505,505,505,281,true
0.9.6,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/SequenceFormat.java,3,1,0,0,0,505,505,505,0,true
0.9.6,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseState.java,12,8,1,2,2,946,505,118.25,0.25,true
0.9.6,external/storm-hbase/src/main/java/org/apache/storm/hbase/security/HBaseSecurityUtil.java,18,1,0,8,8,505,505,505,8,true
0.9.6,external/storm-hbase/src/main/java/org/apache/storm/hbase/security/AutoHBase.java,243,1,0,243,243,505,505,505,243,true
0.9.6,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/AbstractHBaseBolt.java,4,1,0,3,3,505,505,505,3,true
0.9.6,flux-core/src/main/java/org/apache/storm/flux/FluxBuilder.java,355,9,0,138,57,33,12,3.6666667,15.333333,false
0.9.6,flux-core/src/test/java/org/apache/storm/flux/test/SimpleTopology.java,4,1,0,4,4,6,6,6,4,false
0.9.6,flux-core/src/test/java/org/apache/storm/flux/TCKTest.java,124,9,0,94,23,55,12,6.111111,10.444445,false
0.9.6,flux-core/src/main/java/org/apache/storm/flux/model/TopologySourceDef.java,36,2,0,36,19,14,8,7,18,false
0.9.6,flux-core/src/main/java/org/apache/storm/flux/model/TopologyDef.java,14,3,0,0,0,9,6,3,0,false
0.9.6,flux-core/src/test/java/org/apache/storm/flux/test/TridentTopologySource.java,54,1,0,54,54,4,4,4,54,false
0.9.6,external/storm-redis/src/test/java/org/apache/storm/redis/topology/PersistentWordCount.java,540,10,0,236,116,901,505,90.1,23.6,false
0.9.6,flux-core/src/test/java/org/apache/storm/flux/test/TestBolt.java,63,2,0,63,51,18,12,9,31.5,false
