Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,No sampling,No selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.806005932,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,No sampling,No selection,No cost sensitive,0,1,1189,17,0,0,0.42716263,-0.001567398,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,No sampling,No selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.539298072,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,No sampling,No selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.806005932,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,No sampling,No selection,Sensitive threshold,0,1,1189,17,0,0,0.42716263,-0.001567398,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,No sampling,No selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.539298072,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,No sampling,No selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.759095403,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,No sampling,No selection,Sensitive learning,0,1,1189,17,0,0,0.42716263,-0.001567398,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,No sampling,No selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.539298072,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,No sampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,No sampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,No sampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,No sampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,No sampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,No sampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,No sampling,Best first selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,No sampling,Best first selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,No sampling,Best first selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Oversampling,No selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.742609985,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Oversampling,No selection,No cost sensitive,0,1,1189,17,0,0,0.421354424,-0.001567398,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Oversampling,No selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.664162135,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Oversampling,No selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.742609985,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Oversampling,No selection,Sensitive threshold,0,1,1189,17,0,0,0.421354424,-0.001567398,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Oversampling,No selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.664162135,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Oversampling,No selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.541225902,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Oversampling,No selection,Sensitive learning,0,1,1189,17,0,0,0.421354424,-0.001567398,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Oversampling,No selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.664162135,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Oversampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Oversampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Oversampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Oversampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Oversampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Oversampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Oversampling,Best first selection,Sensitive learning,17,1190,0,0,0.014084507,1,0.529411765,0,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Oversampling,Best first selection,Sensitive learning,17,1190,0,0,0.014084507,1,0.529411765,0,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Oversampling,Best first selection,Sensitive learning,17,1190,0,0,0.014084507,1,0.529411765,0,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Undersampling,No selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.76045477,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Undersampling,No selection,No cost sensitive,0,16,1174,17,0,0,0.452990608,-0.01384682,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Undersampling,No selection,No cost sensitive,1,556,634,16,0.001795332,0.058823529,0.300148295,-0.024520686,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Undersampling,No selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.76045477,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Undersampling,No selection,Sensitive threshold,0,16,1174,17,0,0,0.452990608,-0.01384682,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Undersampling,No selection,Sensitive threshold,1,556,634,16,0.001795332,0.058823529,0.300148295,-0.024520686,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Undersampling,No selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.721725161,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Undersampling,No selection,Sensitive learning,0,17,1173,17,0,0,0.452990608,-0.014285714,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Undersampling,No selection,Sensitive learning,1,556,634,16,0.001795332,0.058823529,0.300148295,-0.024520686,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Undersampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Undersampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Undersampling,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Undersampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Undersampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Undersampling,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Undersampling,Best first selection,Sensitive learning,17,1190,0,0,0.014084507,1,0.529411765,0,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Undersampling,Best first selection,Sensitive learning,17,1190,0,0,0.014084507,1,0.529411765,0,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Undersampling,Best first selection,Sensitive learning,17,1190,0,0,0.014084507,1,0.529411765,0,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Smote,No selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.769970341,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Smote,No selection,No cost sensitive,1,1,1189,16,0.5,0.058823529,0.422936233,0.10260223,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Smote,No selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.539298072,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Smote,No selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.769970341,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Smote,No selection,Sensitive threshold,1,1,1189,16,0.5,0.058823529,0.422936233,0.10260223,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Smote,No selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.539298072,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Smote,No selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.823751854,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Smote,No selection,Sensitive learning,1,1,1189,16,0.5,0.058823529,0.422936233,0.10260223,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Smote,No selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.539298072,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Smote,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Smote,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Smote,Best first selection,No cost sensitive,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Smote,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Smote,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Smote,Best first selection,Sensitive threshold,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,RandomForest,Smote,Best first selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,NaiveBayes,Smote,Best first selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,1,91.67529,19.283186,1.4096186,IBk,Smote,Best first selection,Sensitive learning,1,0,1190,16,1,0.058823529,0.529411765,0.109717868,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,No sampling,No selection,No cost sensitive,0,0,1097,19,NaN,0,0.860384781,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,No sampling,No selection,No cost sensitive,1,21,1076,18,0.045454545,0.052631579,0.70810344,0.031077471,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,No sampling,No selection,No cost sensitive,0,7,1090,19,0,0,0.526891522,-0.009252174,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,No sampling,No selection,Sensitive threshold,0,0,1097,19,NaN,0,0.860384781,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,No sampling,No selection,Sensitive threshold,1,21,1076,18,0.045454545,0.052631579,0.70810344,0.031077471,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,No sampling,No selection,Sensitive threshold,0,7,1090,19,0,0,0.526891522,-0.009252174,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,No sampling,No selection,Sensitive learning,0,0,1097,19,NaN,0,0.826200643,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,No sampling,No selection,Sensitive learning,2,24,1073,17,0.076923077,0.105263158,0.70810344,0.070604485,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,No sampling,No selection,Sensitive learning,0,7,1090,19,0,0,0.526891522,-0.009252174,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,No sampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,No sampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,No sampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
